Baltimore Orioles,,Oriole Park at Camden Yards,Monument City Brewing Co.,"1 N Haven St, Baltimore, MD 21224",39.29285,-76.562599
Seattle Mariners,,T-Mobile Park,Dru Bru Pacific Crest,"10 Pass Life Way #3, Snoqualmie Pass, WA 98068",47.421188,-121.412514
Seattle Mariners,,T-Mobile Park,No-Li Brewhouse,"1003 E Trent Ave #170, Spokane, WA 99202",47.66287,-117.3942
Detroit Tigers,,Comerica Park,Cheboygan,"101 N Main St, Cheboygan, MI 49721",45.64491,-84.47658
Boston Red Sox,"Smuttynose IPA ""Finest Kind""",Fenway Park,Smuttynose Brewing Company,"105 Towle Farm Rd, Hampton, NH 03842",42.94186,-70.86751
Seattle Mariners,Fremont Interurban IPA,T-Mobile Park,Fremont Brewing Company,"1050 N 34th St, Seattle, WA 98103",47.64899,-122.34444
Chicago White Sox,Sierra Nevada Pale Ale,Guaranteed Rate Field,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Milwaukee Brewers,Sierra Nevada Torpedo Extra IPA,Miller Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Milwaukee Brewers,Sierra Nevada Pale Ale,Miller Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Oakland Athletics,Sierra Nevada Pale Ale,RingCentral Coliseum,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
San Francisco Giants,Sierra Nevada Pale Ale,Oracle Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Texas Rangers,Sierra Nevada Pale Ale,Globe Life Park in Arlington,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Washington Nationals,Sierra Nevada Pale Ale,Nationals Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928",39.723679,-121.815453
Milwaukee Brewers,,Miller Park,Wisconsin Brewing Company,"1079 American Way, Verona, WI 53593",42.96881,-89.50899
Baltimore Orioles,,Oriole Park at Camden Yards,The Brewer's Art,"1106 N Charles St, Baltimore, MD 21201",39.30278,-76.616241
Seattle Mariners,,T-Mobile Park,Maritime Pacific Brewing Company,"1111 NW Ballard Way, Seattle, WA 98107",47.662701,-122.371712
Tampa Bay Rays,,Tropicana Field,Green Bench Brewing Co.,"1133 Baum Ave N, St. Petersburg, FL 33705",27.771709,-82.650658
San Francisco Giants,,Oracle Park,Fieldwork Brewing Company,"1160 Sixth Street, Berkeley, CA 94710",37.87083,-122.29861
