Teams,Beers,Stadium,Brewery 
Arizona Diamondbacks,Boston Lager,Chase Field,Boston Beer Company (Samuel Adams)
Arizona Diamondbacks,Goose Island Beer Co. Honker's Ale,Chase Field,Goose Island Beer Co.
Arizona Diamondbacks,,Chase Field,Ballast Point
Arizona Diamondbacks,,Chase Field,Breckenridge Avalanche
Arizona Diamondbacks,,Chase Field,Golden Road Wolf Pup 
Arizona Diamondbacks,,Chase Field,Grand Canyon Brewing Co.
Arizona Diamondbacks,,Chase Field,Hop Valley 
Arizona Diamondbacks,,Chase Field,New Belgium
Arizona Diamondbacks,,Chase Field,Saint Archer
Arizona Diamondbacks,,Chase Field,Stone Brewing Company
Arizona Diamondbacks,,Chase Field,Four Peaks
Arizona Diamondbacks,,Chase Field,Papago Brewing Company
Arizona Diamondbacks,,Chase Field,San Tan
Arizona Diamondbacks,,Chase Field,Barrio Brewing Co.
Arizona Diamondbacks,Phoenix Ale Brewery Camelback IPA,Chase Field,The Phoenix Ale Brewery
Atlanta Braves,Sweetwater IPA,SunTrust Park,SweetWater Brewing Company
Atlanta Braves,Terrapin Hopsecutioner,SunTrust Park,Terrapin Beer Company
Atlanta Braves,Yuengling,SunTrust Park,Yuengling Brewery
Atlanta Braves,Yuengling Light,SunTrust Park,Yuengling Brewery
Atlanta Braves,Goose Island Brewing Co. IPA,SunTrust Park,Goose Island Brewing Co.
Atlanta Braves,Blue Point Toasted Lager,SunTrust Park,Blue Point Brewing Company
Boston Red Sox,"Smuttynose IPA ""Finest Kind""",Fenway Park,Smuttynose Brewing Company
Boston Red Sox,Goose Island Beer Co. Honker's Ale,Fenway Park,Goose Island Beer Co.
Boston Red Sox,,Fenway Park,Samuel Adams
Boston Red Sox,,Fenway Park,Wachesett
Boston Red Sox,Harpoon Octoberfest Beer,Fenway Park,Harpoon Brewery & Beer Hall
Boston Red Sox,Cisco Brewers Whale's Tale Pale Ale,Fenway Park,Cisco Brewers Inc.
Chicago Cubs,,Fenway Park,Golden Road
Chicago Cubs,,Fenway Park,Broken Bat
Chicago Cubs,,Fenway Park,Brooklyn
Chicago Cubs,,Fenway Park,Half Acre
Chicago Cubs,,Fenway Park,Begyle 
Chicago Cubs,,Fenway Park,Revolution
Chicago Cubs,,Fenway Park,Cruz Banca
Chicago Cubs,,Fenway Park,3 Floyds
Chicago Cubs,Goose Island Beer Co. Sofie,Wrigley Field,Goose Island Beer Co.
Chicago White Sox,Half Acre Beer Company Daisy Cutter Pale Ale,Guaranteed Rate Field,Half Acre Beer Company
Chicago White Sox,Revolution Brewing Company Anti-Hero,Guaranteed Rate Field,Revolution Brewing
Chicago White Sox,Lagunitas Brewing Company DayTime,Guaranteed Rate Field,Lagunitas Brewing Company
Chicago White Sox,Sierra Nevada Pale Ale,Guaranteed Rate Field,Sierra Nevada Brewing Co.
Chicago White Sox,,Guaranteed Rate Field,Goose Island
Chicago White Sox,,Guaranteed Rate Field,3 Floyds
Chicago White Sox,,Guaranteed Rate Field,350 Brewing
Chicago White Sox,,Guaranteed Rate Field,Revolution Brewing
Chicago White Sox,,Guaranteed Rate Field,Half Acre
Chicago White Sox,,Guaranteed Rate Field,Two Brothers
Chicago White Sox,,Guaranteed Rate Field,Noon Whistle
Chicago White Sox,Rogue Ales Dead Guy Ale,Guaranteed Rate Field,Rogue Ales
Colorado Rockies,Great Divide Brewing Co. Titan IPA,Coors Field,Great Divide Brewing Co.
Colorado Rockies,,Coors Field,Boulder Beer Company
Colorado Rockies,,Coors Field,Upslope Brewing
Colorado Rockies,,Coors Field,Sandlot Brewery
Colorado Rockies,,Coors Field,Left Hand Brewing
Colorado Rockies,Oskar Blues Dale's Pale Ale,Coors Field,Oskar Blues Grill & Brew
Colorado Rockies,Avery India Pale Ale (IPA),Coors Field,Avery Brewing Company
Colorado Rockies,Odell 90 Shilling Ale,Coors Field,Odell Brewing Company
Detroit Tigers,Bell's Two Hearted Ale,Comerica Park,Bell's Brewery
Detroit Tigers,,Comerica Park,Old Nation
Detroit Tigers,,Comerica Park,Arbor Brewing Co.
Detroit Tigers,,Comerica Park,Arcadia
Detroit Tigers,,Comerica Park,Atwater
Detroit Tigers,,Comerica Park,Brewery Vivant
Detroit Tigers,,Comerica Park,Cheboygan
Detroit Tigers,,Comerica Park,Grand Armory
Detroit Tigers,,Comerica Park,Keweenaw Brewing
Detroit Tigers,,Comerica Park,Red Jacket
Detroit Tigers,,Comerica Park,Motor City
Detroit Tigers,Founders Porter,Comerica Park,Founders Brewing Company
Houston Astros,Saint Arnold Elissa IPA,Minute Maid Park,Saint Arnold Brewing Company
Houston Astros,,Minute Maid Park,8th Wonder
Houston Astros,,Minute Maid Park,Karbach
Houston Astros,,Minute Maid Park,Shiner
Houston Astros,,Minute Maid Park,Eureka
Houston Astros,Goose Island Beer Co. 312 Urban Wheat,Minute Maid Park,Goose Island Beer Co.
Los Angeles Angels of Anaheim,Stone Brewing Co. Arrogant Bastard Ale,Angel Stadium,Arrogant Consortia
Los Angeles Angels of Anaheim,,Angel Stadium,Santa Monica Brew Works
Los Angeles Angels of Anaheim,,Angel Stadium,Saint Archer
Los Angeles Angels of Anaheim,,Angel Stadium,Karl Straus
Los Angeles Angels of Anaheim,,Angel Stadium,Modern Times
Los Angeles Angels of Anaheim,,Angel Stadium,Coronado Brewing
Los Angeles Angels of Anaheim,,Angel Stadium,Chihuahua Rico
Los Angeles Angels of Anaheim,,Angel Stadium,Golden Road
Los Angeles Angels of Anaheim,,Angel Stadium,Left Coast Trestles
Los Angeles Angels of Anaheim,,Angel Stadium,Towne Park
Los Angeles Angels of Anaheim,,Angel Stadium,Artifex
Los Angeles Angels of Anaheim,Hangar 24 Brewery Betty,Angel Stadium,Hangar 24 Brewing
Los Angeles Angels of Anaheim,Bootlegger's Brewery Palomino American Pale Ale,Angel Stadium,Bootlegger's Brewery
Los Angeles Angels of Anaheim,Goose Island Beer Co. India Pale Ale,Angel Stadium,Goose Island Beer Co.
Los Angeles Angels of Anaheim,New Belgium Brewing Ranger,Angel Stadium,New Belgium Brewing
Los Angeles Dodgers,Stone Brewing Co. Stone IPA,Dodger Stadium,Firestone Walker Brewing Co.
Los Angeles Dodgers,,Dodger Stadium,Golden Road Brewing
Los Angeles Dodgers,,Dodger Stadium,Lagunitas
Los Angeles Dodgers,,Dodger Stadium,Santa Monica Brew Works
Los Angeles Dodgers,,Dodger Stadium,Garage Brewing
Los Angeles Dodgers,,Dodger Stadium,Angel City Brewery
Los Angeles Dodgers,,Dodger Stadium,Coronado Brewing
Los Angeles Dodgers,,Dodger Stadium,Ballast Point
Los Angeles Dodgers,Stone Brewing Co. Smoked Porter,Dodger Stadium,Stone Brewing
Los Angeles Dodgers,Anchor Brewing Company Anchor Steam Beer,Dodger Stadium,Anchor Brewing Company
Miami Marlins,Goose Island Beer Co. Sofie,Marlins Park,Goose Island Beer Co.
Miami Marlins,,Marlins Park,Biscayne Bay Brewery
Miami Marlins,,Marlins Park,Litehaus Pilsner
Miami Marlins,,Marlins Park,Estrella Jalisco
Miami Marlins,,Marlins Park,Veza Sur Brewing
Miami Marlins,,Marlins Park,Yuengling
Miami Marlins,,Marlins Park,Concrete Beach
Miami Marlins,Goose Island Beer Co. Matilda,Marlins Park,Goose Island Beer Co.
Miami Marlins,Sweetwater Brewing Co. IPA,Marlins Park,SweetWater Brewing Company
New York Mets,Spaten-Franziskaner-Bräu Franziskaner Hefe-Weisse,Citi Field,Spaten-Franziskaner-Bräu
New York Mets,,Citi Field,Mikkeller
New York Mets,,Citi Field,Montauk Brewing
New York Mets,,Citi Field,Interboro
New York Mets,,Citi Field,Five Boroughs
New York Mets,,Citi Field,LIC Beer
New York Mets,,Citi Field,Coded Tiles
New York Mets,,Citi Field,Goose Island
New York Mets,,Citi Field,Founders
New York Mets,,Citi Field,Blue Point
New York Mets,,Citi Field,Queens Brewery
New York Mets,,Citi Field,Oyster Bay
New York Mets,,Citi Field,Coney Island Brewery
New York Mets,Sixpoint Brewery Bengali Tiger,Citi Field,Sixpoint Brewery
New York Mets,Southern Tier Brewing Company IPA,Citi Field,Southern Tier Brewing Company
New York Yankees,Goose Island Beer Co. Honker's Ale ,Yankee Stadium,Goose Island Brewing Co.
New York Yankees,,Yankee Stadium,Samuel Adams
New York Yankees,,Yankee Stadium,Angry Orchard
New York Yankees,,Yankee Stadium,Blue Point
New York Yankees,,Yankee Stadium,Bronx Brewery 
New York Yankees,,Yankee Stadium,Catskill Brewery
New York Yankees,Goose Island Beer Co. 312 Urban Wheat,Yankee Stadium,Goose Island Beer Co.
Philadelphia Phillies,Ommegang Rare Vos,Citizens Bank Park,Brewery Ommegang
Philadelphia Phillies,,Citizens Bank Park,Yards Brewing
Philadelphia Phillies,,Citizens Bank Park,Troegs Independent Brewing
Philadelphia Phillies,Victory Brewing Company Hop Devil Ale,Citizens Bank Park,Victory Brewing Company - Downingtown
Philadelphia Phillies,Sly Fox Brewing Company Pikeland Pils,Citizens Bank Park,Sly Fox Brewing Company
San Diego Padres,Ballast Point Brewing Co. Sculpin IPA,Petco Park,Ballast Point
San Diego Padres,,Petco Park,AleSmith Brewing Company
