,Unnamed: 0,Teams,Beers
0,0,Arizona Diamondbacks,Samuel Adams Boston Lager
1,1,Arizona Diamondbacks,Goose Island Beer Co. Honker's Ale
2,2,Arizona Diamondbacks,Goose Island Beer Co. 312 Urban Wheat
3,3,Arizona Diamondbacks,Blue Moon Belgian White
4,4,Arizona Diamondbacks,Phoenix Ale Brewery Camelback IPA
5,5,Atlanta Braves,Sweetwater IPA
6,6,Atlanta Braves,Sweetwater LowRYEder IPA
7,7,Atlanta Braves,Sweetwater 420 Extra Pale Ale
8,8,Atlanta Braves,Sweetwater Georgia Brow
9,9,Atlanta Braves,Terrapin Hopsecutioner
10,10,Atlanta Braves,Yuengling
11,11,Atlanta Braves,Yuengling Light
12,12,Atlanta Braves,Goose Island Brewing Co. IPA
13,13,Atlanta Braves,Goose Island Brewing Co. 312
14,14,Atlanta Braves,Blue Point Toasted Lager
15,15,Boston Red Sox,"Smuttynose IPA ""Finest Kind"""
16,16,Boston Red Sox,Goose Island Beer Co. Honker's Ale
17,17,Boston Red Sox,Harpoon Octoberfest Beer
18,18,Boston Red Sox,Cisco Brewers Whale's Tale Pale Ale
19,19,Chicago Cubs,Goose Island Beer Co. Sofie
20,20,Chicago Cubs,Goose Island Beer Co. Matilda
21,21,Chicago Cubs,Goose Island Beer Co. Green Line
22,22,Chicago Cubs,Goose Island Beer Co. 312 Urban Wheat
23,23,Chicago White Sox,Half Acre Beer Company Daisy Cutter Pale Ale
24,24,Chicago White Sox,Revolution Brewing Company Anti-Hero
25,25,Chicago White Sox,Lagunitas Brewing Company DayTime
26,26,Chicago White Sox,Sierra Nevada Pale Ale
27,27,Chicago White Sox,Rogue Ales Dead Guy Ale
28,28,Colorado Rockies,Great Divide Brewing Co. Titan IPA
29,29,Colorado Rockies,Oskar Blues Dale's Pale Ale
30,30,Colorado Rockies,Avery India Pale Ale (IPA)
31,31,Colorado Rockies,Odell 90 Shilling Ale
32,32,Colorado Rockies,Odell Easy Street Wheat
