teams,stadium,brewery,address ,bLat,bLong
Arizona Diamondbacks,Chase Field,Four Peaks Brewing Company,"1340 E 8th St #104, Tempe, AZ 85281",33.419899,-111.915077
Arizona Diamondbacks,Chase Field,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
Arizona Diamondbacks,Chase Field,Golden Road Brewing,"2210 E Orangewood Ave, Anaheim, CA 92806",33.795521,-117.88501
Arizona Diamondbacks,Chase Field,Stone Brewing Company,"2816 Historic Decatur Rd, San Diego, CA 92106",32.740604,-117.211479
Arizona Diamondbacks,Chase Field,Breckenridge Brewery,"2920 Brewery Ln, Littleton, CO 80120",39.5937,-105.023491
Arizona Diamondbacks,Chase Field,Boston Beer Company (Samuel Adams),"30 Germania St, Boston, MA 02130",42.314548,-71.102882
Arizona Diamondbacks,Chase Field,The Phoenix Ale Brewery,"3002 E Washington St, Phoenix, AZ 85034",33.45004,-112.01691
Arizona Diamondbacks,Chase Field,Grand Canyon Brewing Co.,"301 N 7th St, Williams, AZ 86046",35.25156,-112.195969
Arizona Diamondbacks,Chase Field,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524",40.59342,-105.0684
Arizona Diamondbacks,Chase Field,SanTan Brewing Company,"8 S San Marcos Pl, Chandler, AZ 85225",33.30324,-111.84255
Arizona Diamondbacks,Chase Field,Barrio Brewing Co.,"800 E 16th St, Tucson, AZ 85719",32.21442,-110.959534
Arizona Diamondbacks,Chase Field,Ballast Point,"9045 Carroll Way, San Diego, CA 92121",32.887871,-117.158119
Arizona Diamondbacks,Chase Field,Saint Archer Brewing Co.,"9550 Distribution Ave, San Diego, CA 92121",32.88036,-117.16387
Arizona Diamondbacks,Chase Field,Hop Valley,"990 W 1st Ave, Eugene, OR 97402",44.058201,-123.107529
Atlanta Braves,SunTrust Park,Goose Island Beer Co.,"1800 W Fulton St, Chicago, IL 60612",41.88694,-87.672256
Atlanta Braves,SunTrust Park,SweetWater Brewing Company,"195 Ottley Dr NE, Atlanta, GA 30324",33.808079,-84.381187
Atlanta Braves,SunTrust Park,Blue Point Brewing Company,"225 W Main St, Patchogue, NY 11772",40.76651,-73.02124
