Teams,Beers,Stadium,Brewery,Address 
Seattle Mariners,,T-Mobile Park,10 Barrel,"1411 NW Flanders St, Portland, OR 97209"
Seattle Mariners,21st Amendment Watermelon wheat,T-Mobile Park,21st Amendment Brewery,"2010 Williams St, San Leandro, CA 94577"
Cincinnati Reds,21st Amendment Hell or High Watermelon Wheat,Great American Ball Park,21st Amendment Brewery,"2010 Williams St, San Leandro, CA 94577"
St. Louis Cardinals,,Busch Stadium,2nd Shift,"1601 Sublette Ave, St. Louis, MO 63110"
Tampa Bay Rays,,Tropicana Field,3 Daughters,"222 22nd St S, St. Petersburg, FL 33712"
Chicago Cubs,,Fenway Park,3 Floyds,"9750 Indiana Pkwy, Munster, IN 46321"
Chicago White Sox,,Guaranteed Rate Field,3 Floyds,"9750 Indiana Pkwy, Munster, IN 46321"
Washington Nationals,,Nationals Park,3 Stars Brewing,"6400 Chillum Pl NW, Washington, DC 20012"
Chicago White Sox,,Guaranteed Rate Field,350 Brewing,"7144 183rd St, Tinley Park, IL 60477"
St. Louis Cardinals,,Busch Stadium,4 Hands,"1220 S 8th St, St. Louis, MO 63104"
Seattle Mariners,7 Seas Port Royal stout,T-Mobile Park,7 Seas Brewery and Taproom,"2101 Jefferson Ave, Tacoma, WA 98402"
Houston Astros,,Minute Maid Park,8th Wonder,"2202 Dallas St, Houston, TX 77003"
San Diego Padres,,Petco Park,AleSmith Brewing Company,"9990 AleSmith Ct, San Diego, CA 92126"
Toronto Blue Jays,,Rogers Centre,Alexander Keith’s,"1496 Lower Water St, Halifax, NS B3J 3R5, Canada"
Washington Nationals,Allagash Saison Ale,Nationals Park,Allagash Brewing Company,"50 Industrial Way, Portland, ME 04103"
Cincinnati Reds,Kentucky Bourbon Barrel Ale,Great American Ball Park,Alltech's Lexington Brewing and Distilling Co.,"401 Cross St, Lexington, KY 40508"
San Francisco Giants,,Oracle Park,Almanac,"651 W Tower Ave, Alameda, CA 94501"
San Francisco Giants,,Oracle Park,Altamont,"2402 Research Dr, Livermore, CA 94550"
Los Angeles Dodgers,Anchor Brewing Company Anchor Steam Beer,Dodger Stadium,Anchor Brewing Company,"1705 Mariposa St, San Francisco, CA 94107"
San Francisco Giants,Anchor Porter,Oracle Park,Anchor Brewing Company,"1705 Mariposa St, San Francisco, CA 94107"
