Teams,Logos,Beers,Brewery,Stadium Name,City,Latitude,Longitude
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Goose Island Beer Co. Honker's Ale, Goose Island Beer Co. ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Phoenix Ale Brewery Camelback IPA, The Phoenix Ale Brewery ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater IPA,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater LowRYEder IPA, SweetWater Brewing Company ,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater 420 Extra Pale Ale,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater Georgia Brow,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Terrapin Hopsecutioner,Terrapin Beer Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Yuengling,Yuengling Brewery,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Yuengling Light,Yuengling Brewery,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Goose Island Brewing Co. IPA,,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Goose Island Brewing Co. 312,,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Blue Point Toasted Lager, Blue Point Brewing Company ,Turner Field,"Atlanta, GA",33.734805,-84.389996
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's Rick's Red Ale,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's Wild Pitch Wheat,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
